Rank,Company,round_led_by,founded_year,location,country,stage,primary_sector,top_investors_1,top_investors_2,unicorn_year,employee_count_date,employee_count_number,Total_funding,Annual_Revenue,Valuation_Amount
118,Juspay,Kedaara,2012,Bengaluru  ,India,Series D,Payments,Wellington,Kedaara,2025,2025-02-28,1015,88000000,3480000000,34500000000
117,Money View,Accel,2014,Bengaluru  ,India,Series E,Alternative Lending,Accel,Nexus Venture Partners,2025,2025-02-28,709,220000000,13900000000,101000000000
116,Ather Energy,NIIF,2013,Bengaluru  ,India,Public,Electric Vehicles,Herald Investment Management,GIC,2025,2025-03-31,1630,390000000,17900000000,502000000
115,Rapido,Unknown,2015,Bengaluru  ,India,Series E,Road Transport Tech,WestBridge Capital,Invus,2025,2025-02-28,671,559000000,6950000000,92300000000
114,Porter,Unknown,2014,Bengaluru  ,India,Series F,Logistics Tech,Wellington,Lightstone Ventures,2024,2025-02-28,2041,151000000,27700000000,1000000000
113,Perfios,Ontario Teachers' Pension Plan,2008,Bengaluru  ,India,Series D,Banking Tech,Alternative Lending,Investment Tech,2024,2025-02-28,1072,263000000,5690000000,84400000000
112,Krutrim,Z47,2023,Bengaluru  ,India,Series B,Generative AI,AI Infrastructure,Z47,2024,2025-01-31,373,51100000,90000000,1000000000
111,InCred,Ranjan Pai,2016,Mumbai  ,India,Series D,Alternative Lending,KKR,Barclays,2024,2025-01-31,2004,318000000,7100000,4000000000
110,Zepto,StepStone Group,2020,Bengaluru  ,India,Series G,Online Grocery,Glade Brook Capital,Rocket Internet,2024,2025-03-31,5469,1950000000,45000000000,5000000000
109,boAt,Warburg Pincus,2016,Gurugram  ,India,Series C,Consumer Electronics E-Commerce,Audio Tech,Wearable Technology,2023,2025-02-28,914,390000000,108000000000,171000000
108,Molbio Diagnostics,Unknown,2000,Salcete  ,India,Series C,Infectious Diseases,Genomics,Temasek,2023,2025-03-31,698,124000000,3370000000,6000000000
107,Tata 1mg,Unknown,2015,Delhi  ,India,Acquired,Healthcare Booking Platforms,HBM Healthcare Investments,Maverick Ventures,2023,2025-02-28,4360,231000000,19900000000,25000000000
106,Shiprocket,Unknown,2012,Gurugram  ,India,Series E,Logistics Tech,E-Commerce Enablers,Brands Tech,2023,2025-03-31,805,349000000,13600000000,102000000000
105,OneCard,Temasek,2019,Pune  ,India,Series D,Payments,GIC,Temasek,2023,2025-02-28,914,390000000,116000000000,262000000
104,LeadSquared,Unknown,2011,Bengaluru  ,India,Series C,Sales Force Automation,MarketingTech,Field Force Automation,2022,2025-02-28,914,204000000,3250000000,72000000000
103,Purplle,Paramark Ventures,2011,Mumbai  ,India,Series F,Beauty Tech,Goldman Sachs,ADIA,2022,2025-02-28,914,560000000,7250000000,3000000000
102,Physics Wallah,WestBridge Capital,2020,Noida  ,India,Series B,K-12 EdTech,Test Preparation Tech,WestBridge Capital,2022,2025-02-28,914,390000000,7000000000,312000000
101,Vivriti Capital,TVS Capital Funds,2017,Chennai  ,India,Series D,Alternative Lending,Lightstone Ventures,TVS Capital Funds,2022,2025-02-28,376,205000000,11100000000,141000000000
100,Open,India Infoline,2017,Bengaluru  ,India,Series D,Banking Tech,Temasek,Recruit Strategic Partners,2022,2025-02-28,914,390000000,73000000000,186000000
99,Games24x7,Malabar Investments,2006,Mumbai  ,India,Series C,PC & Console Gaming,Gambling Tech,Mobile Gaming,2022,2024-10-31,821,390000000,188000000000,1000000
